"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_jira_url_no_trailing_slash_unchanged","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_config","",""
"","0","test_compute_velocity_missing_sprint_id","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"Active sprint must be index 0 so the template's .reverse() places it rightmost in charts.","1","test_get_sprints_active_sprint_comes_first","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_jira_client","",""
"","2","test_jira_url_empty_string_safe","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_config","",""
"Clicking Filter tab shows its panel and hides others.","173","test_click_filter_tab[chromium]","tests.e2e","Tue Apr 28 13:35:36 UTC 2026","passed","Tue Apr 28 13:35:37 UTC 2026","","test_e2e_ui","",""
"Updating JIRA_URL must not disturb JIRA_EMAIL or JIRA_API_TOKEN.","1","test_preserves_other_credential_keys_when_updating_url","tests.component","Tue Apr 28 13:35:14 UTC 2026","passed","Tue Apr 28 13:35:14 UTC 2026","TestWriteEnvFields","test_server_config","",""
"POST /api/fetch-cert saves the PEM file with LF-only line endings (no CRLF on Windows).

    Ensures the write_bytes fix is effective: ssl.get_server_certificate returns a PEM
    string with \n endings; the saved bytes must not contain \r\n sequences, which would
    make cryptography fail to parse the cert on Windows.
    ","2","test_fetch_cert_saves_pem_without_crlf_line_endings","tests.component","Tue Apr 28 13:35:13 UTC 2026","passed","Tue Apr 28 13:35:13 UTC 2026","","test_server","",""
"","0","test_setup_logging_attaches_stream_handler","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_logging_setup","",""
"","2","test_estimation_type_default_story_points","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_config","",""
"When JIRA_CLOSED_SPRINTS_ONLY=True period 0 starts on last Monday, not current Monday.","1","test_fetch_kanban_data_closed_sprints_only_excludes_current_week","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_jira_client","",""
"","1","test_non_dau_files_ignored","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_normalizer","",""
"","7","test_get_schema_detail_rejects_path_traversal","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_server_handlers","",""
